Severity,Start_Time,End_Time,Distance(mi),State,Country,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Weather_Condition,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Day,Month,Year,Hour,Weekday,High_Severity
2,,2021-12-31 17:08:30.000000000,0.531,NY,US,51.0,83.0,8.0,7.0,Cloudy,Day,Day,Day,Day,,,,,,False
2,2021-12-16 21:29:07,2021-12-16 21:58:46,0.0,CA,US,51.0,86.0,4.0,0.0,Cloudy,Night,Night,Night,Night,16,12,2021,21.0,Thursday,False
2,2023-02-05 21:10:30,2023-02-05 21:37:00,0.708,CT,US,38.0,60.0,10.0,0.0,Fair,Night,Night,Night,Night,5,2,2023,21.0,Sunday,False
2,2021-05-29 23:49:40,2021-05-30 02:14:54,0.038,SC,US,69.0,61.0,10.0,8.0,Fair,Night,Night,Night,Night,29,5,2021,23.0,Saturday,False
2,2021-11-27 15:20:55,2021-11-27 17:47:10,2.619,GA,US,60.0,25.0,10.0,7.0,Fair,Day,Day,Day,Day,27,11,2021,15.0,Saturday,False
2,2016-09-08 11:33:18,2016-09-08 12:18:18,0.0,FL,US,84.9,65.0,10.0,12.7,Mostly Cloudy,Day,Day,Day,Day,8,9,2016,11.0,Thursday,False
2,2016-10-13 21:44:20,2016-10-13 22:30:00,0.01,TX,US,77.0,74.0,10.0,5.8,Clear,Night,Night,Night,Night,13,10,2016,21.0,Thursday,False
2,2018-03-29 03:16:00,2018-03-29 04:00:43,0.0,CA,US,51.8,94.0,10.0,7.0,Partly Cloudy,Night,Night,Night,Night,29,3,2018,3.0,Thursday,False
3,2019-11-18 08:59:27,2019-11-18 09:29:06,0.0,TX,US,51.0,63.0,10.0,0.0,Fair,Day,Day,Day,Day,18,11,2019,8.0,Monday,True
2,2022-11-15 13:59:00,2022-11-15 15:41:55,0.132,LA,US,50.0,74.0,10.0,12.0,Cloudy,Day,Day,Day,Day,15,11,2022,13.0,Tuesday,False
2,2022-01-28 07:09:30,2022-01-28 12:08:30,2.044,CA,US,54.0,23.0,10.0,7.0,Fair,Day,Day,Day,Day,28,1,2022,7.0,Friday,False
2,,2022-09-22 14:23:00.000000000,0.72,NY,US,73.0,79.0,4.0,23.0,Heavy T-Storm / Windy,Day,Day,Day,Day,,,,,,False
1,2022-05-18 17:34:09,2022-05-18 18:03:46,0.0,OK,US,89.0,57.0,10.0,8.0,Mostly Cloudy,Day,Day,Day,Day,18,5,2022,17.0,Wednesday,False
2,2018-07-11 07:48:21,2018-07-11 08:33:04,0.0,FL,US,78.8,83.0,10.0,7.0,Clear,Day,Day,Day,Day,11,7,2018,7.0,Wednesday,False
2,2021-09-22 07:30:15,2021-09-22 09:24:18,0.0,MN,US,,,,7.0,,Day,Day,Day,Day,22,9,2021,7.0,Wednesday,False
2,2019-03-06 17:43:14,2019-03-06 18:13:00,0.0,AZ,US,81.0,14.0,10.0,5.8,Clear,Day,Day,Day,Day,6,3,2019,17.0,Wednesday,False
2,2019-08-16 10:29:08,2019-08-16 10:58:57,0.0,NY,US,75.0,66.0,10.0,6.0,Partly Cloudy,Day,Day,Day,Day,16,8,2019,10.0,Friday,False
2,2019-12-23 06:59:03,2019-12-23 07:58:48,0.0,SC,US,45.0,100.0,4.0,14.0,Rain,Night,Night,Day,Day,23,12,2019,6.0,Monday,False
2,2020-10-16 13:17:30,2020-10-17 00:30:53,0.135,FL,US,87.0,67.0,10.0,8.0,Thunder in the Vicinity,Day,Day,Day,Day,16,10,2020,13.0,Friday,False
2,2017-08-28 13:31:14,2017-08-28 14:30:27,0.0,NC,US,77.0,56.0,10.0,10.4,Mostly Cloudy,Day,Day,Day,Day,28,8,2017,13.0,Monday,False
2,2022-07-03 14:32:03,2022-07-03 15:47:03,0.062,TX,US,96.0,40.0,10.0,13.0,Mostly Cloudy,Day,Day,Day,Day,3,7,2022,14.0,Sunday,False
2,2021-11-30 05:26:12,2021-11-30 05:56:04,0.0,TN,US,45.0,71.0,10.0,5.0,Fair,Night,Night,Night,Day,30,11,2021,5.0,Tuesday,False
2,2018-09-20 08:02:11,2018-09-20 08:31:59,0.0,TN,US,73.0,87.0,10.0,3.5,Clear,Day,Day,Day,Day,20,9,2018,8.0,Thursday,False
2,2021-12-27 04:19:30,2021-12-27 05:11:00,3.443,NV,US,30.0,85.0,9.0,5.0,Cloudy,Night,Night,Night,Night,27,12,2021,4.0,Monday,False
2,2021-03-26 20:56:53,2021-03-26 21:49:07,0.0,CA,US,63.0,38.0,10.0,0.0,Fair,Night,Night,Night,Night,26,3,2021,20.0,Friday,False
2,2022-04-05 03:39:23,2022-04-05 05:43:42,0.177,NJ,US,42.0,64.0,,0.0,Cloudy,Night,Night,Night,Night,5,4,2022,3.0,Tuesday,False
2,,2021-09-16 10:56:12.000000000,0.106,FL,US,83.0,82.0,10.0,0.0,Partly Cloudy,Day,Day,Day,Day,,,,,,False
3,2017-10-23 09:16:37,2017-10-23 09:46:28,0.0,RI,US,53.6,100.0,0.2,3.5,Fog,Day,Day,Day,Day,23,10,2017,9.0,Monday,True
2,2021-12-22 13:03:45,2021-12-22 15:15:49,0.268,NC,US,59.0,29.0,10.0,9.0,Fair,Day,Day,Day,Day,22,12,2021,13.0,Wednesday,False
2,2018-06-25 07:47:40,2018-06-25 08:17:14,0.0,NC,US,75.9,91.0,10.0,7.0,Overcast,Day,Day,Day,Day,25,6,2018,7.0,Monday,False
2,2018-10-24 06:38:03,2018-10-24 07:07:31,0.0,AZ,US,39.0,93.0,10.0,7.0,Clear,Night,Night,Day,Day,24,10,2018,6.0,Wednesday,False
2,2022-07-15 08:48:30,2022-07-15 12:31:00,3.989,IN,US,68.0,83.0,7.0,0.0,Light Rain,Day,Day,Day,Day,15,7,2022,8.0,Friday,False
2,2018-10-11 16:44:39,2018-10-11 17:14:08,0.0,IL,US,48.0,52.0,10.0,10.4,Partly Cloudy,Day,Day,Day,Day,11,10,2018,16.0,Thursday,False
3,2017-06-16 13:33:50,2017-06-16 14:03:32,0.0,CA,US,95.0,25.0,10.0,9.2,Clear,Day,Day,Day,Day,16,6,2017,13.0,Friday,True
2,,2022-05-25 19:13:12.000000000,0.097,FL,US,87.0,55.0,10.0,18.0,Partly Cloudy,Day,Day,Day,Day,,,,,,False
2,2020-11-18 21:34:03,2020-11-18 22:52:45,0.086,PA,US,23.0,78.0,10.0,0.0,Fair,Night,Night,Night,Night,18,11,2020,21.0,Wednesday,False
2,2018-08-23 15:40:49,2018-08-23 16:47:44,0.0,SC,US,81.0,34.0,10.0,3.5,Clear,Day,Day,Day,Day,23,8,2018,15.0,Thursday,False
2,2023-01-14 15:44:00,2023-01-14 17:35:30,0.036,MI,US,31.0,61.0,10.0,9.0,Partly Cloudy,Day,Day,Day,Day,14,1,2023,15.0,Saturday,False
2,2021-11-10 18:21:00,2021-11-10 19:36:14,0.028,FL,US,69.0,87.0,10.0,5.0,Cloudy,Night,Night,Day,Day,10,11,2021,18.0,Wednesday,False
2,2021-08-31 18:06:28,2021-08-31 18:36:05,0.0,RI,US,75.0,64.0,10.0,6.0,Fair,Day,Day,Day,Day,31,8,2021,18.0,Tuesday,False
2,2020-05-19 14:16:20,2020-05-19 15:06:18,0.0,OH,US,64.0,90.0,10.0,9.0,Light Rain,Day,Day,Day,Day,19,5,2020,14.0,Tuesday,False
3,2017-08-06 17:03:27,2017-08-06 18:03:27,0.0,TN,US,80.1,81.0,10.0,12.7,Mostly Cloudy,Day,Day,Day,Day,6,8,2017,17.0,Sunday,True
3,2022-03-02 16:29:18,2022-03-02 17:13:58,0.0,VA,US,59.0,31.0,10.0,8.0,Fair,Day,Day,Day,Day,2,3,2022,16.0,Wednesday,True
2,2020-10-21 21:00:31,2020-10-21 21:30:00,0.0,CA,US,62.0,82.0,10.0,0.0,Fair,Night,Night,Night,Night,21,10,2020,21.0,Wednesday,False
2,2022-11-23 13:39:00,2022-11-23 19:55:30,1.3030000000000002,MD,US,62.0,25.0,10.0,9.0,Fair,Day,Day,Day,Day,23,11,2022,13.0,Wednesday,False
2,2022-12-30 20:32:56,2022-12-30 21:51:06,1.39,IL,US,35.0,82.0,9.0,5.0,Mostly Cloudy,Night,Night,Night,Night,30,12,2022,20.0,Friday,False
3,2022-06-29 16:47:09,2022-06-29 17:35:25,0.0,VA,US,87.0,46.0,10.0,0.0,Fair,Day,Day,Day,Day,29,6,2022,16.0,Wednesday,True
2,2023-02-23 14:49:00,2023-02-23 17:07:17,0.1369999999999999,CA,US,49.0,64.0,10.0,10.0,Mostly Cloudy,Day,Day,Day,Day,23,2,2023,14.0,Thursday,False
2,2020-12-26 03:30:00,2020-12-26 08:59:54,1.259,CA,US,52.0,100.0,10.0,0.0,Cloudy,Night,Night,Night,Night,26,12,2020,3.0,Saturday,False
2,2022-02-25 16:46:21,2022-02-25 17:46:21,1.538,OR,US,56.0,28.0,10.0,3.0,Fair,Day,Day,Day,Day,25,2,2022,16.0,Friday,False
2,,2023-01-06 13:29:40.000000000,0.058,CA,US,50.0,86.0,10.0,12.0,Cloudy,Day,Day,Day,Day,,,,,,False
2,2017-10-26 12:33:05,2017-10-26 13:02:59,0.0,AZ,US,89.6,13.0,10.0,8.1,Clear,Day,Day,Day,Day,26,10,2017,12.0,Thursday,False
2,2020-11-24 17:28:06,2020-11-24 21:10:07,0.008,MT,US,32.0,73.0,10.0,0.0,Fair,Night,Night,Day,Day,24,11,2020,17.0,Tuesday,False
3,2022-07-19 08:54:42,2022-07-19 10:24:14,3.1800000667572017,CT,US,79.0,69.0,10.0,6.0,Mostly Cloudy,Day,Day,Day,Day,19,7,2022,8.0,Tuesday,True
3,2018-06-12 06:06:44,2018-06-12 06:36:23,0.0,AL,US,69.1,96.0,10.0,7.0,Partly Cloudy,Day,Day,Day,Day,12,6,2018,6.0,Tuesday,True
3,2021-11-12 16:58:22,2021-11-12 17:28:04,0.0,TX,US,73.0,50.0,10.0,12.0,Fair,Day,Day,Day,Day,12,11,2021,16.0,Friday,True
2,2022-10-01 12:38:00,2022-10-01 13:42:00,1.462,VA,US,60.0,93.0,6.0,14.0,Light Rain,Day,Day,Day,Day,1,10,2022,12.0,Saturday,False
2,2020-09-14 02:20:00,2020-09-14 04:35:34,0.491,NJ,US,70.0,88.0,10.0,0.0,Mostly Cloudy,Night,Night,Night,Night,14,9,2020,2.0,Monday,False
2,2019-10-20 13:13:00,2019-10-20 14:05:06,0.448,CA,US,80.0,39.0,10.0,8.0,Fair,Day,Day,Day,Day,20,10,2019,13.0,Sunday,False
2,2017-10-18 06:36:52,2017-10-18 07:21:39,0.0,CA,US,55.0,74.0,10.0,7.0,Clear,Night,Day,Day,Day,18,10,2017,6.0,Wednesday,False
2,2020-11-10 11:14:49,2020-11-10 12:51:07,0.0,TX,US,73.0,47.0,10.0,9.0,Mostly Cloudy,Day,Day,Day,Day,10,11,2020,11.0,Tuesday,False
2,2016-08-08 14:17:47,2016-08-08 20:17:47,0.178,IA,US,80.1,64.0,10.0,10.4,Overcast,Day,Day,Day,Day,8,8,2016,14.0,Monday,False
3,2017-02-28 17:50:56,2017-02-28 23:50:56,0.053,IL,US,59.0,83.0,6.0,17.3,Light Rain,Night,Day,Day,Day,28,2,2017,17.0,Tuesday,True
2,2020-11-24 00:01:00,2020-11-24 07:34:05,0.076,CA,US,54.0,80.0,6.0,0.0,Haze,Night,Night,Night,Night,24,11,2020,0.0,Tuesday,False
2,2021-08-27 10:00:46,2021-08-27 10:29:38,0.0,MN,US,70.0,93.0,10.0,7.0,Cloudy,Day,Day,Day,Day,27,8,2021,10.0,Friday,False
2,2020-12-16 08:52:00,2020-12-16 11:07:29,0.07,FL,US,55.0,96.0,6.0,8.0,Cloudy,Day,Day,Day,Day,16,12,2020,8.0,Wednesday,False
2,2021-09-28 19:40:00,2021-09-28 19:55:00,0.805,TN,US,75.0,64.0,10.0,0.0,Fair,Night,Night,Night,Day,28,9,2021,19.0,Tuesday,False
2,2023-01-25 05:50:38,2023-01-25 07:05:39,1.952,MO,US,32.0,100.0,4.0,5.0,Light Snow,Night,Night,Night,Day,25,1,2023,5.0,Wednesday,False
2,2019-09-11 09:42:59,2019-09-11 10:42:44,0.0,SC,US,81.0,69.0,10.0,0.0,Fair,Day,Day,Day,Day,11,9,2019,9.0,Wednesday,False
2,2023-01-24 07:28:00,2023-01-24 09:07:38,2.899,FL,US,56.0,77.0,10.0,16.0,Fair,Day,Day,Day,Day,24,1,2023,7.0,Tuesday,False
2,2018-02-02 06:44:22,2018-02-02 07:28:59,0.0,NC,US,36.0,55.0,10.0,9.2,Clear,Night,Night,Day,Day,2,2,2018,6.0,Friday,False
2,,2023-01-23 18:59:30.000000000,5.394,CA,US,68.0,14.0,10.0,3.0,Fair,Day,Day,Day,Day,,,,,,False
3,2017-11-28 07:54:17,2017-11-28 08:25:00,0.0,CO,US,36.0,67.0,10.0,7.0,Overcast,Day,Day,Day,Day,28,11,2017,7.0,Tuesday,True
2,2021-12-17 07:57:00,2021-12-17 09:15:22,0.061,CA,US,32.0,100.0,80.0,6.0,Patches of Fog,Day,Day,Day,Day,17,12,2021,7.0,Friday,False
2,2022-05-20 13:09:30,2022-05-20 13:23:30,0.643,NV,US,56.0,15.0,10.0,14.0,Fair,Day,Day,Day,Day,20,5,2022,13.0,Friday,False
2,2018-12-28 04:23:54,2018-12-28 04:52:20,0.0,FL,US,68.0,96.0,9.0,3.5,Partly Cloudy,Night,Night,Night,Night,28,12,2018,4.0,Friday,False
2,2016-10-06 15:20:01,2016-10-06 15:49:22,0.0,CA,US,75.2,31.0,10.0,9.2,Scattered Clouds,Day,Day,Day,Day,6,10,2016,15.0,Thursday,False
2,2017-08-29 14:47:46,2017-08-29 15:46:06,0.0,NC,US,71.6,69.0,10.0,9.2,Overcast,Day,Day,Day,Day,29,8,2017,14.0,Tuesday,False
2,2022-04-26 19:27:30,2022-04-26 21:33:59,0.088,FL,US,75.0,66.0,10.0,13.0,Fair,Day,Day,Day,Day,26,4,2022,19.0,Tuesday,False
3,2020-11-05 18:41:14,2020-11-05 19:10:47,0.0,NY,US,60.0,78.0,10.0,6.0,Partly Cloudy,Night,Night,Night,Night,5,11,2020,18.0,Thursday,True
3,2020-05-22 19:22:59,2020-05-22 20:22:59,0.0,OK,US,85.0,48.0,10.0,0.0,Fair,Day,Day,Day,Day,22,5,2020,19.0,Friday,True
2,,2023-01-04 15:46:30.000000000,0.331,IN,US,44.0,63.0,10.0,14.0,Mostly Cloudy,Day,Day,Day,Day,,,,,,False
2,2019-07-03 08:02:20,2019-07-03 09:06:55,0.0,WI,US,72.0,94.0,10.0,0.0,Fair,Day,Day,Day,Day,3,7,2019,8.0,Wednesday,False
2,2021-03-14 07:35:08,2021-03-14 08:52:38,0.1669999999999999,SC,US,56.0,90.0,10.0,0.0,Fair,Day,Day,Day,Day,14,3,2021,7.0,Sunday,False
2,2022-08-21 19:49:00,2022-08-21 22:09:06,1.045,CA,US,73.0,71.0,10.0,3.0,Fair,Night,Day,Day,Day,21,8,2022,19.0,Sunday,False
3,2018-02-23 04:01:54,2018-02-23 05:01:04,0.0,MD,US,39.2,93.0,4.0,3.5,Overcast,Night,Night,Night,Night,23,2,2018,4.0,Friday,True
2,2019-01-21 08:18:41,2019-01-21 08:48:33,0.0,KY,US,10.0,73.0,10.0,7.0,Clear,Day,Day,Day,Day,21,1,2019,8.0,Monday,False
2,,2021-04-19 14:24:00.000000000,0.324,TX,US,44.0,73.0,10.0,5.0,Fair,Night,Night,Night,Night,,,,,,False
2,2020-12-03 00:44:00,2020-12-03 04:51:30,0.063,NY,US,37.0,75.0,10.0,17.0,Cloudy,Night,Night,Night,Night,3,12,2020,0.0,Thursday,False
2,2022-08-25 15:29:00,2022-08-25 18:14:00,0.345,NC,US,80.0,79.0,4.0,6.0,Light Rain,Day,Day,Day,Day,25,8,2022,15.0,Thursday,False
2,2019-08-07 22:06:00,2019-08-07 23:03:00,0.456,UT,US,,,,7.0,,Night,Night,Night,Day,7,8,2019,22.0,Wednesday,False
2,2020-11-11 18:36:00,2020-11-11 20:17:00,0.241,TX,US,73.0,51.0,10.0,3.0,Fair,Night,Night,Night,Day,11,11,2020,18.0,Wednesday,False
2,2022-04-14 18:09:01,2022-04-14 18:29:01,0.4370000000000001,TX,US,74.0,27.0,10.0,14.0,Fair,Day,Day,Day,Day,14,4,2022,18.0,Thursday,False
2,2020-09-17 10:20:28,2020-09-17 12:42:58,0.0,NC,US,70.0,93.0,4.0,8.0,Light Rain,Day,Day,Day,Day,17,9,2020,10.0,Thursday,False
2,2016-10-12 06:44:02,2016-10-12 07:13:49,0.01,MA,US,41.0,96.0,10.0,7.0,Clear,Night,Day,Day,Day,12,10,2016,6.0,Wednesday,False
2,2016-10-03 18:27:58,2016-10-03 19:27:30,0.0,IL,US,55.9,90.0,10.0,4.6,Clear,Day,Day,Day,Day,3,10,2016,18.0,Monday,False
2,2019-01-30 13:39:33,2019-01-30 14:09:14,0.434,CA,US,61.0,64.0,10.0,10.4,Clear,Day,Day,Day,Day,30,1,2019,13.0,Wednesday,False
2,2022-04-12 18:36:11,2022-04-12 19:05:52,0.0,NC,US,73.0,53.0,10.0,3.0,Cloudy,Day,Day,Day,Day,12,4,2022,18.0,Tuesday,False
2,2017-07-16 03:32:57,2017-07-16 09:32:57,0.0,MA,US,69.1,100.0,7.0,4.6,Mostly Cloudy,Night,Night,Night,Day,16,7,2017,3.0,Sunday,False
2,2020-11-16 07:10:22,2020-11-16 08:09:12,0.0,SC,US,44.0,100.0,10.0,0.0,Fair,Day,Day,Day,Day,16,11,2020,7.0,Monday,False
2,,2022-01-31 23:44:52.000000000,3.05,CA,US,54.0,19.0,10.0,5.0,Fair,Day,Day,Day,Day,,,,,,False
2,2020-02-21 09:13:17,2020-02-21 09:57:57,0.0,CA,US,66.0,27.0,10.0,0.0,Fair,Day,Day,Day,Day,21,2,2020,9.0,Friday,False
2,2017-03-08 09:09:36,2017-03-08 10:09:36,0.01,TX,US,61.0,52.0,10.0,4.6,Overcast,Day,Day,Day,Day,8,3,2017,9.0,Wednesday,False
2,2020-05-08 17:52:23,2020-05-08 18:07:23,0.84,PA,US,44.0,96.0,3.0,0.0,Light Rain,Day,Day,Day,Day,8,5,2020,17.0,Friday,False
2,2022-11-20 14:09:00,2022-11-20 15:26:58,0.025,CA,US,79.0,13.0,10.0,0.0,Fair,Day,Day,Day,Day,20,11,2022,14.0,Sunday,False
2,2021-01-02 10:30:03,2021-01-02 11:45:03,0.606,TX,US,45.0,57.0,13.0,7.0,Mostly Cloudy,Day,Day,Day,Day,2,1,2021,10.0,Saturday,False
2,2020-11-23 22:42:40,2020-11-24 00:39:40,0.017,TX,US,54.0,97.0,8.0,0.0,Shallow Fog,Night,Night,Night,Night,23,11,2020,22.0,Monday,False
4,2022-04-23 22:29:00,2022-04-24 00:25:53,4.461,PA,US,57.0,42.0,10.0,0.0,Fair,Night,Night,Night,Night,23,4,2022,22.0,Saturday,True
2,2019-10-29 05:25:00,2019-10-29 06:15:57,0.0,CA,US,36.0,35.0,10.0,0.0,Fair,Night,Night,Night,Night,29,10,2019,5.0,Tuesday,False
2,2021-12-22 18:48:30,2021-12-22 19:09:00,0.514,VA,US,45.0,34.0,10.0,3.0,Fair,Night,Night,Night,Night,22,12,2021,18.0,Wednesday,False
